symbol,underlying_symbol,underlying_price,contract_type,strike,expiration_date,bid,ask,mark,last,delta,open_interest,volume,option_root,expiration_type,intrinsic_value,extrinsic_value,time_value,volatility,high_52_week,low_52_week,gamma,theta,vega,rho,bid_size,ask_size,high_price,low_price,open_price,close_price
SPXW  250520C05660000,$SPX,5659.91,CALL,5660,2025-05-20T20:00:00.000+00:00,76,77.4,76.7,78.9,0.509,0,35,SPXW,W,-0.09,78.99,78.9,18.658,111.64,39.4,0.002,-3.454,3.928,0.852,7,7,90,67.9,0,74.37
SPXW  250520C05665000,$SPX,5659.91,CALL,5665,2025-05-20T20:00:00.000+00:00,73.1,74.6,73.85,76.8,0.499,0,10,SPXW,W,-5.09,81.89,76.8,18.569,106.81,53,0.002,-3.437,3.929,0.835,7,7,84,71.5,0,71.35
SPXW  250520C05670000,$SPX,5659.91,CALL,5670,2025-05-20T20:00:00.000+00:00,70.4,71.8,71.1,75.3,0.488,0,12,SPXW,W,-10.09,85.39,75.3,18.49,103.2,52.6,0.002,-3.419,3.928,0.817,7,7,81,68.8,0,68.33
SPXW  250520C05675000,$SPX,5659.91,CALL,5675,2025-05-20T20:00:00.000+00:00,67.9,69,68.45,71,0.476,0,14,SPXW,W,-15.09,86.09,71,18.4,104.6,35.15,0.002,-3.397,3.923,0.798,1,1,77.6,62.89,0,65.31
SPXW  250520C05680000,$SPX,5659.91,CALL,5680,2025-05-20T20:00:00.000+00:00,65.2,66.4,65.8,63.92,0.465,0,5,SPXW,W,-20.09,84.01,63.92,18.324,105.2,33.65,0.002,-3.376,3.915,0.78,1,8,75.5,56.65,0,62.6
SPXW  250520C05685000,$SPX,5659.91,CALL,5685,2025-05-20T20:00:00.000+00:00,62.6,63.7,63.15,64.1,0.454,0,10,SPXW,W,-25.09,89.19,64.1,18.256,99,64.1,0.002,-3.352,3.904,0.762,1,1,75,64.1,0,60.05
SPXW  250520C05690000,$SPX,5659.91,CALL,5690,2025-05-20T20:00:00.000+00:00,60.1,61.2,60.65,69.2,0.443,0,10,SPXW,W,-30.09,99.29,69.2,18.187,100,28.68,0.002,-3.326,3.89,0.743,1,1,69.6,69,0,57.6
SPXW  250520C05695000,$SPX,5659.91,CALL,5695,2025-05-20T20:00:00.000+00:00,57.6,58.7,58.15,59.22,0.432,0,3,SPXW,W,-35.09,94.31,59.22,18.1,82.37,44.02,0.002,-3.292,3.873,0.725,1,1,59.22,59.22,0,55.2
SPXW  250520C05700000,$SPX,5659.91,CALL,5700,2025-05-20T20:00:00.000+00:00,55.2,56.3,55.75,55.1,0.42,0,158,SPXW,W,-40.09,95.19,55.1,18.014,94.24,8.51,0.002,-3.257,3.852,0.706,1,9,65.3,52.87,0,53.05
SPXW  250520C05705000,$SPX,5659.91,CALL,5705,2025-05-20T20:00:00.000+00:00,52.8,53.9,53.35,52.8,0.409,0,4,SPXW,W,-45.09,97.89,52.8,17.926,86.9,46.43,0.002,-3.219,3.828,0.687,1,1,52.8,52.8,0,50.92
