contract_type,symbol,description,strike,expiration_date,mark,bid,bid_size,ask,ask_size,last,last_size,open_interest,total_volume,delta,gamma,theta,vega,rho,volatility,theoretical_volatility,theoretical_option_value,intrinsic_value,extrinsic_value,underlying_price
CALL,SPXW  260415C02600000,SPXW 04/15/2026 2600.00 C,2600.0,2026-04-15,4220.4,4210.3,1,4230.5,1,0.0,0,0,0,1.0,0.0,0.752,0.001,0.159,331.644,29.0,4220.283,4221.87,-4221.87,6821.87
CALL,SPXW  260415C02800000,SPXW 04/15/2026 2800.00 C,2800.0,2026-04-15,4020.35,4010.6,1,4030.1,1,0.0,0,0,0,1.0,0.0,0.751,0.001,0.171,307.142,29.0,4020.284,4021.87,-4021.87,6821.87
CALL,SPXW  260415C03000000,SPXW 04/15/2026 3000.00 C,3000.0,2026-04-15,3820.6,3811.0,1,3830.2,1,0.0,0,0,0,1.0,0.0,0.751,0.001,0.183,284.047,29.0,3820.284,3821.87,-3821.87,6821.87
CALL,SPXW  260415C03200000,SPXW 04/15/2026 3200.00 C,3200.0,2026-04-15,3619.25,3609.7,1,3628.8,1,0.0,0,0,0,1.0,0.0,0.751,0.002,0.195,262.42,29.0,3620.284,3621.87,-3621.87,6821.87
CALL,SPXW  260415C03400000,SPXW 04/15/2026 3400.00 C,3400.0,2026-04-15,3420.05,3409.7,1,3430.4,1,0.0,0,0,0,1.0,0.0,0.751,0.002,0.208,242.072,29.0,3420.285,3421.87,-3421.87,6821.87
CALL,SPXW  260415C03600000,SPXW 04/15/2026 3600.00 C,3600.0,2026-04-15,3220.05,3209.8,1,3230.3,1,0.0,0,0,0,1.0,0.0,0.75,0.002,0.22,223.205,29.0,3220.286,3221.87,-3221.87,6821.87
CALL,SPXW  260415C03800000,SPXW 04/15/2026 3800.00 C,3800.0,2026-04-15,3020.55,3010.8,1,3030.3,1,0.0,0,0,0,1.0,0.0,0.75,0.002,0.232,205.091,29.0,3020.286,3021.87,-3021.87,6821.87
CALL,SPXW  260415C04000000,SPXW 04/15/2026 4000.00 C,4000.0,2026-04-15,2819.9,2810.2,1,2829.6,1,0.0,0,0,0,1.0,0.0,0.75,0.002,0.244,187.799,29.0,2820.286,2821.87,-2821.87,6821.87
CALL,SPXW  260415C04200000,SPXW 04/15/2026 4200.00 C,4200.0,2026-04-15,2620.65,2609.9,1,2631.4,1,0.0,0,0,0,1.0,0.0,0.75,0.002,0.256,171.311,29.0,2620.287,2621.87,-2621.87,6821.87
CALL,SPXW  260415C04400000,SPXW 04/15/2026 4400.00 C,4400.0,2026-04-15,2419.7,2410.3,1,2429.1,1,2421.08,1,1,0,1.0,0.0,0.75,0.003,0.269,155.581,29.0,2420.287,2421.87,-0.79,6821.87
CALL,SPXW  260415C04600000,SPXW 04/15/2026 4600.00 C,4600.0,2026-04-15,2220.75,2210.0,1,2231.5,1,0.0,0,0,0,1.0,0.0,0.75,0.003,0.281,140.533,29.0,2220.287,2221.87,-2221.87,6821.87
CALL,SPXW  260415C04800000,SPXW 04/15/2026 4800.00 C,4800.0,2026-04-15,2020.75,2011.0,1,2030.5,1,0.0,0,0,0,1.0,0.0,0.749,0.003,0.293,126.156,29.0,2020.288,2021.87,-2021.87,6821.87
CALL,SPXW  260415C05000000,SPXW 04/15/2026 5000.00 C,5000.0,2026-04-15,1820.8,1810.1,1,1831.5,1,0.0,0,1,0,1.0,0.0,0.749,0.003,0.305,112.249,29.0,1820.288,1821.87,-1821.87,6821.87
CALL,SPXW  260415C05100000,SPXW 04/15/2026 5100.00 C,5100.0,2026-04-15,1720.35,1710.1,1,1730.6,1,0.0,0,0,0,1.0,0.0,0.749,0.004,0.311,105.453,29.0,1720.289,1721.87,-1721.87,6821.87
CALL,SPXW  260415C05200000,SPXW 04/15/2026 5200.00 C,5200.0,2026-04-15,1621.3,1611.7,1,1630.9,1,0.0,0,0,0,1.0,0.0,0.749,0.004,0.317,98.82,29.0,1620.289,1621.87,-1621.87,6821.87
CALL,SPXW  260415C05300000,SPXW 04/15/2026 5300.00 C,5300.0,2026-04-15,1521.45,1511.2,1,1531.7,1,1529.57,17,17,0,1.0,0.0,0.749,0.004,0.323,92.212,29.0,1520.289,1521.87,7.7,6821.87
CALL,SPXW  260415C05400000,SPXW 04/15/2026 5400.00 C,5400.0,2026-04-15,1420.95,1410.2,1,1431.7,1,0.0,0,0,0,1.0,0.0,0.749,0.004,0.33,85.76,29.0,1420.289,1421.87,-1421.87,6821.87
CALL,SPXW  260415C05475000,SPXW 04/15/2026 5475.00 C,5475.0,2026-04-15,1346.6,1336.8,1,1356.4,1,0.0,0,0,0,0.999,0.0,0.724,0.008,0.334,85.021,29.0,1345.314,1346.87,-1346.87,6821.87
CALL,SPXW  260415C05500000,SPXW 04/15/2026 5500.00 C,5500.0,2026-04-15,1320.15,1310.4,1,1329.9,1,0.0,0,0,0,0.999,0.0,0.724,0.008,0.336,83.369,29.0,1320.314,1321.87,-1321.87,6821.87
CALL,SPXW  260415C05525000,SPXW 04/15/2026 5525.00 C,5525.0,2026-04-15,1295.95,1286.2,1,1305.7,1,0.0,0,0,0,0.999,0.0,0.724,0.008,0.337,81.726,29.0,1295.314,1296.87,-1296.87,6821.87
CALL,SPXW  260415C05550000,SPXW 04/15/2026 5550.00 C,5550.0,2026-04-15,1271.45,1261.2,1,1281.7,1,0.0,0,0,0,0.999,0.0,0.724,0.008,0.339,80.09,29.0,1270.314,1271.87,-1271.87,6821.87
CALL,SPXW  260415C05575000,SPXW 04/15/2026 5575.00 C,5575.0,2026-04-15,1246.55,1236.7,1,1256.4,1,0.0,0,0,0,0.999,0.0,0.724,0.009,0.34,78.459,29.0,1245.314,1246.87,-1246.87,6821.87
CALL,SPXW  260415C05600000,SPXW 04/15/2026 5600.00 C,5600.0,2026-04-15,1219.85,1210.3,1,1229.4,1,0.0,0,0,0,0.999,0.0,0.724,0.009,0.342,76.868,29.0,1220.315,1221.87,-1221.87,6821.87
CALL,SPXW  260415C05625000,SPXW 04/15/2026 5625.00 C,5625.0,2026-04-15,1195.95,1186.1,1,1205.8,1,0.0,0,0,0,0.999,0.0,0.724,0.009,0.343,75.208,29.0,1195.315,1196.87,-1196.87,6821.87
CALL,SPXW  260415C05650000,SPXW 04/15/2026 5650.00 C,5650.0,2026-04-15,1171.1,1161.1,1,1181.1,1,0.0,0,0,0,0.999,0.0,0.699,0.013,0.345,75.911,29.0,1170.34,1171.87,-1171.87,6821.87
CALL,SPXW  260415C05675000,SPXW 04/15/2026 5675.00 C,5675.0,2026-04-15,1146.4,1136.0,1,1156.8,1,0.0,0,0,0,0.999,0.0,0.699,0.013,0.346,74.261,29.0,1145.34,1146.87,-1146.87,6821.87
CALL,SPXW  260415C05700000,SPXW 04/15/2026 5700.00 C,5700.0,2026-04-15,1120.7,1110.3,2,1131.1,1,0.0,0,0,0,0.999,0.0,0.699,0.013,0.348,72.606,29.0,1120.34,1121.87,-1121.87,6821.87
CALL,SPXW  260415C05725000,SPXW 04/15/2026 5725.00 C,5725.0,2026-04-15,1096.45,1086.1,1,1106.8,1,0.0,0,0,0,0.999,0.0,0.674,0.017,0.349,72.628,29.0,1095.365,1096.87,-1096.87,6821.87
CALL,SPXW  260415C05750000,SPXW 04/15/2026 5750.00 C,5750.0,2026-04-15,1071.25,1061.7,1,1080.8,1,0.0,0,0,0,0.999,0.0,0.699,0.014,0.351,69.326,29.0,1070.34,1071.87,-1071.87,6821.87
CALL,SPXW  260415C05775000,SPXW 04/15/2026 5775.00 C,5775.0,2026-04-15,1044.95,1036.3,1,1053.6,1,0.0,0,0,0,0.999,0.0,0.674,0.017,0.352,69.289,29.0,1045.365,1046.87,-1046.87,6821.87
CALL,SPXW  260415C05800000,SPXW 04/15/2026 5800.00 C,5800.0,2026-04-15,1020.15,1010.8,1,1029.5,1,0.0,0,0,0,0.999,0.0,0.674,0.018,0.354,67.644,29.0,1020.365,1021.87,-1021.87,6821.87
CALL,SPXW  260415C05825000,SPXW 04/15/2026 5825.00 C,5825.0,2026-04-15,994.7,985.8,1,1003.6,1,0.0,0,0,0,0.999,0.0,0.674,0.018,0.355,65.963,29.0,995.365,996.87,-996.87,6821.87
CALL,SPXW  260415C05850000,SPXW 04/15/2026 5850.00 C,5850.0,2026-04-15,971.75,961.7,1,981.8,1,0.0,0,0,0,0.998,0.0,0.65,0.022,0.357,65.539,29.0,970.39,971.87,-971.87,6821.87
CALL,SPXW  260415C05875000,SPXW 04/15/2026 5875.00 C,5875.0,2026-04-15,946.45,937.0,1,955.9,1,0.0,0,0,0,0.998,0.0,0.65,0.023,0.358,63.861,29.0,945.39,946.87,-946.87,6821.87
CALL,SPXW  260415C05900000,SPXW 04/15/2026 5900.00 C,5900.0,2026-04-15,920.3,910.4,1,930.2,1,560.2,1,1,0,0.998,0.0,0.625,0.027,0.36,63.194,29.0,920.415,921.87,-361.67,6821.87
CALL,SPXW  260415C05925000,SPXW 04/15/2026 5925.00 C,5925.0,2026-04-15,896.15,886.4,1,905.9,1,0.0,0,0,0,0.998,0.0,0.625,0.027,0.361,61.502,29.0,895.415,896.87,-896.87,6821.87
CALL,SPXW  260415C05950000,SPXW 04/15/2026 5950.00 C,5950.0,2026-04-15,870.3,861.9,1,878.7,1,0.0,0,0,0,0.998,0.0,0.625,0.028,0.363,59.817,29.0,870.415,871.87,-871.87,6821.87
CALL,SPXW  260415C05975000,SPXW 04/15/2026 5975.00 C,5975.0,2026-04-15,845.05,836.4,1,853.7,1,0.0,0,0,0,0.998,0.0,0.601,0.032,0.364,58.957,29.0,845.441,846.87,-846.87,6821.87
CALL,SPXW  260415C06000000,SPXW 04/15/2026 6000.00 C,6000.0,2026-04-15,821.55,811.1,1,832.0,1,776.56,1,4,0,0.998,0.0,0.576,0.036,0.365,57.978,29.0,820.466,821.87,-45.31,6821.87
